    PID TTY      STAT   TIME COMMAND
   3137 ?        Sl    11:51 /usr/lib/slack/slack --type=renderer --autoplay-policy=no-user-gesture-required --force-color-profile=srgb --field-trial-handle=5223755090093742102,14761324036587723506,131072 --enable-features=WebComponentsV0Enabled --disable-features=CookiesWithoutSameSiteMustBeSecure,HardwareMediaKeyHandling,RequestInitiatorSiteLockEnfocement,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WebRtcHideLocalIpsWithMdns --lang=de --enable-crash-reporter=a522034a-db76-4e69-b0e9-3b072377a0e8,no_channel --global-crash-keys=a522034a-db76-4e69-b0e9-3b072377a0e8,no_channel,_productName=Slack,_version=4.13.0 --standard-schemes=app,slack-webapp-dev --enable-sandbox --secure-schemes=app,slack-webapp-dev --bypasscsp-schemes=slack-webapp-dev --cors-schemes=slack-webapp-dev --fetch-schemes=slack-webapp-dev --service-worker-schemes=slack-webapp-dev --streaming-schemes --app-path=/usr/lib/slack/resources/app.asar --enable-sandbox --native-window-open --preload=/usr/lib/slack/resources/app.asar/dist/preload.bundle.js --context-isolation --background-color=#FFFFFF --enable-blink-features=EventTiming --enable-spellcheck --enable-websql --disable-electron-site-instance-overrides --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100 --window-type=main
   3171 ?        S      0:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
   3173 ?        Ssl    0:02 /usr/libexec/fwupd/fwupd
   3207 ?        Ssl    0:00 /usr/lib/bolt/boltd
   3295 ?        Ss     0:00 /usr/sbin/uuidd --socket-activation
   4136 ?        Sl     0:00 update-notifier
   4171 ?        SLl    8:50 /snap/chromium/1497/usr/lib/chromium-browser/chrome --password-store
   4254 ?        S      0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=zygote --no-zygote-sandbox
   4255 ?        S      0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=zygote
   4257 ?        S      0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=zygote
   4276 ?        Sl    15:38 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=gpu-process --field-trial-handle=7553479743906546279,12855720293878275406,131072 --gpu-preferences=QAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --shared-files
   4282 ?        SLl    1:25 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --service-sandbox-type=network --shared-files=v8_context_snapshot_data:100
   4296 ?        Sl     0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --service-sandbox-type=utility --shared-files=v8_context_snapshot_data:100
   4331 ?        Sl     0:01 /usr/bin/snap userd
   4413 ?        Sl     0:06 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4470 ?        Sl     0:28 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=6 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4483 ?        Sl     0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4504 ?        Sl     0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=8 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4522 ?        Sl     0:05 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=9 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4523 ?        Sl     0:02 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=10 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4530 ?        Sl     0:35 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=11 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4534 ?        Sl     0:32 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   4535 ?        Sl     0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=13 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5376 ?        Sl     0:18 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=18 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5394 ?        Sl     0:11 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=32 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5405 ?        Sl     0:09 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=19 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5420 ?        Rl    22:49 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --extension-process --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=33 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5433 ?        Sl     0:00 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=ppapi --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --shared-files
   5443 ?        Sl     0:09 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=20 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
   5464 ?        Sl     0:09 /snap/chromium/1497/usr/lib/chromium-browser/chrome --type=renderer --field-trial-handle=7553479743906546279,12855720293878275406,131072 --lang=de --disable-client-side-phishing-detection --origin-trial-disabled-features=SecurePaymentConfirmation --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=21 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
